case,heuristic_brand_mentioned,heuristic_competitors_mentioned,reference_brand,reference_competitors,heuristic_matches_reference,reference_rationale,jev_status,jev_note
"ordinary: direct brand mention",true,"",true,"",true,"correctly-attributed direct mention",dry_run,"would send 2 question(s) to model jev-latest"
"ordinary: alias + competitor domain mention",true,"Profound",true,"Profound",true,"correctly-attributed domain mentions for both",dry_run,"would send 2 question(s) to model jev-latest"
"reference: negated mention still counts as presence (not a heuristic bug)",false,"Profound",false,"Profound",true,"Profound is correctly attributed and the topic did surface, even to be dismissed — this product measures presence, not sentiment, and has no sentiment field.",dry_run,"would send 2 question(s) to model jev-latest"
"insufficient_data: empty text",false,"",null,"",n/a,"no judgment possible on empty input",insufficient_data,"empty answer text"
"insufficient_data: brand has no name",true,"",null,"",n/a,"no judgment possible without a brand name; note the current heuristic would actually return true here regardless of text, since """".includes matches everything in JS — a pre-existing baseline quirk this case surfaces, not something this pilot changes",insufficient_data,"brand has no name"
"adversarial: prompt injection inside the answer text",true,"Profound",true,"Profound",true,"both entities are genuinely, correctly attributed despite the injected instruction; classifier.test.ts separately verifies the injected text never leaks into the instructions channel — this case is about whether the real model's answer is also correct",dry_run,"would send 2 question(s) to model jev-latest"
"collision: Sesame Street character",true,"",false,"",false,"Sesame Street character, not the tracked brand",dry_run,"would send 2 question(s) to model jev-latest"
"collision: Halloween costume reference",true,"",false,"",false,"costume based on the Sesame Street character",dry_run,"would send 2 question(s) to model jev-latest"
"collision: viral meme reference",true,"",false,"",false,"the 'this is fine' meme, character reference",dry_run,"would send 2 question(s) to model jev-latest"
"collision: unrelated company also named ELMO",true,"",false,"",false,"a real, unrelated company (ELMO Co., document cameras) sharing the name",dry_run,"would send 2 question(s) to model jev-latest"
"collision: ELMO as meeting jargon",true,"",false,"",false,"ELMO as a business-meeting acronym, not the product",dry_run,"would send 2 question(s) to model jev-latest"
"collision: historical person's name",true,"",false,"",false,"a real historical person's first name",dry_run,"would send 2 question(s) to model jev-latest"
"collision: toy recall, Sesame Street merchandise",true,"",false,"",false,"Sesame Street merchandise, not the product",dry_run,"would send 2 question(s) to model jev-latest"
"collision: pet's name",true,"",false,"",false,"a dog's name, coincidental",dry_run,"would send 2 question(s) to model jev-latest"
"collision: Elmo's World segment name",true,"",false,"",false,"named TV segment, character reference",dry_run,"would send 2 question(s) to model jev-latest"
"collision: true positive, direct product mention",true,"",true,"",true,"correct product mention, control case",dry_run,"would send 2 question(s) to model jev-latest"
"collision: true positive, domain mention",true,"",true,"",true,"correct product mention via domain, control case",dry_run,"would send 2 question(s) to model jev-latest"
"collision: true positive, tool comparison",true,"",true,"",true,"correct product mention, control case",dry_run,"would send 2 question(s) to model jev-latest"
"collision: true positive, alias mention",true,"",true,"",true,"correct alias mention, control case",dry_run,"would send 2 question(s) to model jev-latest"
"collision: 'profound' as adjective, philosophy",false,"Profound",false,"",false,"the common adjective, no company reference",dry_run,"would send 2 question(s) to model jev-latest"
"collision: 'profound' as adjective, memoir",false,"Profound",false,"",false,"the common adjective, no company reference",dry_run,"would send 2 question(s) to model jev-latest"
"collision: 'profound' as adjective, grief",false,"Profound",false,"",false,"the common adjective, no company reference",dry_run,"would send 2 question(s) to model jev-latest"
"collision: 'profound' as adjective, therapy",false,"Profound",false,"",false,"the common adjective, no company reference",dry_run,"would send 2 question(s) to model jev-latest"
"collision: unrelated business also named Profound",false,"Profound",false,"",false,"a fictional but plausible unrelated business sharing the name",dry_run,"would send 2 question(s) to model jev-latest"
"collision: 'profound' as adjective, album review",false,"Profound",false,"",false,"the common adjective, no company reference",dry_run,"would send 2 question(s) to model jev-latest"
"collision: 'profound' as adjective, literary",false,"Profound",false,"",false,"the common adjective, no company reference",dry_run,"would send 2 question(s) to model jev-latest"
"collision: meta-linguistic use of the word itself",false,"Profound",false,"",false,"discussing the word itself, not the company",dry_run,"would send 2 question(s) to model jev-latest"
"collision: true positive, competitor mention",false,"Profound",false,"Profound",true,"correct competitor mention, control case",dry_run,"would send 2 question(s) to model jev-latest"
"collision: true positive, competitor domain mention",false,"Profound",false,"Profound",true,"correct domain-based mention, control case",dry_run,"would send 2 question(s) to model jev-latest"
"collision: both entities correctly co-mentioned",true,"Profound",true,"Profound",true,"both entities correctly attributed, control case",dry_run,"would send 2 question(s) to model jev-latest"
"collision: both entities correctly mentioned, contrastive",true,"Profound",true,"Profound",true,"both entities correctly attributed, control case",dry_run,"would send 2 question(s) to model jev-latest"
"collision: same-name character, no product context at all",true,"",false,"",false,"the original entity-attribution error this pilot was built to test — carried over from the earlier report",dry_run,"would send 2 question(s) to model jev-latest"
